Aal,Aal,case=nominative:number=singular
Aale,Aal,case=nominative:number=plural
Aales,Aal,case=genitive:number=singular
Aale,Aal,case=genitive:number=plural
Aal,Aal,case=dative:number=singular
Aalen,Aal,case=dative:number=plural
Aal,Aal,case=accusative:number=singular
Aale,Aal,case=accusative:number=plural
Aasfliege,Aasfliege,case=nominative:number=singular
Aasfliegen,Aasfliege,case=nominative:number=plural
Aasfliege,Aasfliege,case=genitive:number=singular
Aasfliegen,Aasfliege,case=genitive:number=plural
Aasfliege,Aasfliege,case=dative:number=singular
Aasfliegen,Aasfliege,case=dative:number=plural
Aasfliege,Aasfliege,case=accusative:number=singular
Aasfliegen,Aasfliege,case=accusative:number=plural
Aasfresser,Aasfresser,case=nominative:number=singular
Aasfresser,Aasfresser,case=nominative:number=plural
Aasfressers,Aasfresser,case=genitive:number=singular
Aasfresser,Aasfresser,case=genitive:number=plural
Aasfresser,Aasfresser,case=dative:number=singular
Aasfressern,Aasfresser,case=dative:number=plural
Aasfresser,Aasfresser,case=accusative:number=singular
Aasfresser,Aasfresser,case=accusative:number=plural
Aasvogel,Aasvogel,case=nominative:number=singular
Aasvögel,Aasvogel,case=nominative:number=plural
Aasvogels,Aasvogel,case=genitive:number=singular
Aasvögel,Aasvogel,case=genitive:number=plural
Aasvogel,Aasvogel,case=dative:number=singular
Aasvögeln,Aasvogel,case=dative:number=plural
Aasvogel,Aasvogel,case=accusative:number=singular
Aasvögel,Aasvogel,case=accusative:number=plural
Abart,Abart,case=nominative:number=singular
Abarten,Abart,case=nominative:number=plural
Abart,Abart,case=genitive:number=singular
Abarten,Abart,case=genitive:number=plural
Abart,Abart,case=dative:number=singular
Abarten,Abart,case=dative:number=plural
Abart,Abart,case=accusative:number=singular
Abarten,Abart,case=accusative:number=plural
Abbau,Abbau,case=nominative:number=singular
Abbaue,Abbau,case=nominative:number=plural
Abbaues,Abbau,case=genitive:number=singular
Abbaue,Abbau,case=genitive:number=plural
Abbau,Abbau,case=dative:number=singular
Abbauen,Abbau,case=dative:number=plural
Abbau,Abbau,case=accusative:number=singular
Abbaue,Abbau,case=accusative:number=plural
Abdankung,Abdankung,case=nominative:number=singular
Abdankungen,Abdankung,case=nominative:number=plural
Abdankung,Abdankung,case=genitive:number=singular
Abdankungen,Abdankung,case=genitive:number=plural
Abdankung,Abdankung,case=dative:number=singular
Abdankungen,Abdankung,case=dative:number=plural
